EqpList,FmsList,DataType,DefaultValue
Recipe_Item253,Chamber2_Step05_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item254,Chamber2_Step06_Throttle_Valve_Lead_Time_SV,UInt16,0
Recipe_Item255,Chamber2_Step06_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item256,Chamber2_Step07_Throttle_Valve_Lead_Time_SV,UInt16,0
Recipe_Item257,Chamber2_Step07_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item258,Chamber2_Step08_Throttle_Valve_Lead_Time_SV,UInt16,0
Recipe_Item259,Chamber2_Step08_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item260,Chamber2_Step09_Throttle_Valve_Lead_Time_SV,UInt16,0
Recipe_Item261,Chamber2_Step09_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item262,Chamber2_Step10_Throttle_Valve_Lead_Time_SV,UInt16,0
Recipe_Item263,Chamber2_Step10_Throttle_Valve_Gain_Value_SV,UInt16,0
Recipe_Item264,Final_Resealing_Main_Sealing_Tool_Pressure_SV,UInt16,400
Recipe_Item265,Final_Resealing_Sub_F_Sealing_Tool_Pressure_SV,UInt16,500
Recipe_Item266,Final_Resealing_Sub_R_Sealing_Tool_Pressure_SV,UInt16,500
Recipe_Item267,Final_Resealing_Sealing_Up_Temperature_SV,UInt16,165
Recipe_Item268,Final_Resealing_Sealing_Low_Temperature_SV,UInt16,165
Recipe_Item269,Final_Resealing_Sealing_Temperature_Tolerance_SV,UInt16,5
Recipe_Item270,Final_Resealing_Sealing_Process_Time_SV,UInt16,30
Recipe_Item271,Final_Resealing_Thickness_defect_determination_tolerance_SV,UInt16,0
Recipe_Item274,180_Pre_Folding_Temperature_SV,UInt16,100
Recipe_Item275,180_Pre_Folding_Temperature_Tolerance_SV,UInt16,5
Recipe_Item276,180_Pre_Folding_Speed_SV,UInt16,7000
Recipe_Item277,180_Folding_Press_Up_Temperature_SV,UInt16,60
Recipe_Item278,180_Folding_Press_Low_Temperature_SV,UInt16,60
Recipe_Item279,180_Folding_Press_Temperature_Tolerance_SV,UInt16,5
Recipe_Item280,180_Folding_Press_Process_Time_SV,UInt16,30
Recipe_Item281,270_Folding_Speed_SV,UInt16,7000
Recipe_Item282,270_Folding_Press_Temperature_SV,UInt16,150
Recipe_Item283,270_Folding_Press_Temperature_Tolerance_SV,UInt16,5
Recipe_Item284,270_Folding_Press_Process_Time_SV,UInt16,50
